gene_id,symbol,gene_name,log2_fold_change,logCPM,LR,PValue,FDR,entrezgene_id
ENSCAFG00845007784,MRFAP1,,2.836247362,8.733892385,504.6676633,9.17E-112,1.21E-107,608548
ENSCAFG00845002083,CORO1A,coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252],3.166189285,12.60157479,427.2230671,6.54E-95,4.32E-91,489949
ENSCAFG00845000887,CDIPT,,2.403961031,7.365647972,385.3985722,8.31E-86,3.66E-82,489940
ENSCAFG00845009430,YIPF3,Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023],2.398099715,7.657538278,349.5423027,5.33E-78,1.76E-74,481817
ENSCAFG00845020039,,,3.166304278,8.16659497,346.0016473,3.15E-77,8.33E-74,100684983
ENSCAFG00845028855,LY96,lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156],3.669323353,7.481284205,318.8013483,2.64E-71,5.83E-68,610524
ENSCAFG00845023393,EIF4A1,eukaryotic translation initiation factor 4A1 [Source:NCBI gene (formerly Entrezgene);Acc:100688577],2.517191372,11.08117243,318.2782748,3.44E-71,6.49E-68,100688577
ENSCAFG00845018065,CFL1,,2.281532621,11.44438124,314.902258,1.87E-70,3.09E-67,476022
ENSCAFG00845026930,RPS13,ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386],2.786748944,10.70778455,306.1871179,1.48E-68,2.17E-65,480235
ENSCAFG00845013139,,,2.063749341,7.481832012,296.5716773,1.84E-66,2.43E-63,119874448
ENSCAFG00845023296,PSMB4,proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541],2.567774255,9.082564023,288.5097824,1.05E-64,1.26E-61,475848
ENSCAFG00845023387,SCAND1,SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566],2.562511708,7.135105682,287.7621293,1.53E-64,1.68E-61,609014
ENSCAFG00845006300,NEDD8,NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732],2.341515909,7.308255077,287.0513214,2.18E-64,2.22E-61,480265
ENSCAFG00845026325,C27H12orf57,chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521],3.140014244,9.407336291,284.886911,6.47E-64,6.11E-61,119866431
ENSCAFG00845007809,ALDOC,"aldolase, fructose-bisphosphate C [Source:NCBI gene (formerly Entrezgene);Acc:480622]",2.99344626,6.118202627,283.779981,1.13E-63,9.94E-61,480622
ENSCAFG00845014680,LUC7L3,LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309],2.248680625,7.568234588,280.3837926,6.19E-63,5.12E-60,100856465
ENSCAFG00845004716,GMFG,glia maturation factor gamma [Source:HGNC Symbol;Acc:HGNC:4374],3.034173195,10.16046425,279.8262301,8.19E-63,6.38E-60,611578
ENSCAFG00845021389,,,2.588551579,8.570112373,277.191089,3.07E-62,2.26E-59,475399
ENSCAFG00845017083,MAGOH,"mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]",2.622256914,6.605958625,274.527931,1.17E-61,8.15E-59,479562
ENSCAFG00845022725,SOD1,superoxide dismutase 1 [Source:NCBI gene (formerly Entrezgene);Acc:403559],2.687743833,7.565287379,273.6015065,1.86E-61,1.23E-58,403559
ENSCAFG00845021180,PFDN6,prefoldin subunit 6 [Source:NCBI gene (formerly Entrezgene);Acc:474872],3.203119637,7.405570331,273.270251,2.20E-61,1.39E-58,474872
ENSCAFG00845025287,,,2.676809867,6.326608475,269.9551489,1.16E-60,6.98E-58,119866325
ENSCAFG00845030865,RPL29,,2.608830177,11.1211408,268.3080084,2.65E-60,1.53E-57,476601
ENSCAFG00845030234,CD48,,2.370663122,9.429183234,267.3966282,4.19E-60,2.31E-57,488642
ENSCAFG00845018743,HNRNPD,heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036],2.102472307,9.543287803,264.6236106,1.69E-59,8.92E-57,478450
ENSCAFG00845008917,H3-3A,,2.672240845,10.5582494,262.4574654,5.00E-59,2.54E-56,480110
ENSCAFG00845006499,MYL6,myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823],2.931539592,11.31948511,259.9033644,1.80E-58,8.83E-56,607030
ENSCAFG00845022043,CUTA,cutA divalent cation tolerance homolog [Source:HGNC Symbol;Acc:HGNC:21101],3.392510755,6.445758163,258.9566867,2.90E-58,1.37E-55,474874
ENSCAFG00845014852,ATP5PF,,2.482708799,7.52957803,258.1845334,4.27E-58,1.95E-55,119867048
ENSCAFG00845001977,,,2.584332582,7.619416337,241.6816292,1.69E-54,7.22E-52,612644
ENSCAFG00845014234,EIF3H,eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273],2.170452952,8.991930917,240.0981976,3.74E-54,1.55E-51,475081
ENSCAFG00845029848,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698],2.777290997,6.005304379,236.9083871,1.86E-53,7.45E-51,100855975
ENSCAFG00845008374,SDF2,stromal cell derived factor 2 [Source:HGNC Symbol;Acc:HGNC:10675],2.125179149,6.996809612,236.7146975,2.05E-53,7.96E-51,480626
ENSCAFG00845023974,AMDHD1,,2.964102164,6.802258218,236.4917495,2.29E-53,8.61E-51,482609
ENSCAFG00845001785,CD53,CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686],2.219888859,10.18846163,236.4447357,2.34E-53,8.61E-51,100855953
ENSCAFG00845016135,YBX1,,1.95913073,9.412470801,232.3637109,1.82E-52,6.50E-50,607025
ENSCAFG00845027222,SELENOK,selenoprotein K [Source:NCBI gene (formerly Entrezgene);Acc:476586],2.52728213,7.089091439,231.9631886,2.22E-52,7.74E-50,476586
ENSCAFG00845003823,CWF19L2,CWF19 like cell cycle control factor 2 [Source:HGNC Symbol;Acc:HGNC:26508],2.718140799,5.991193917,231.7302401,2.50E-52,8.48E-50,479454
ENSCAFG00845026337,COQ10B,coenzyme Q10B [Source:HGNC Symbol;Acc:HGNC:25819],2.249574626,7.673973303,231.5523277,2.73E-52,9.04E-50,478853
ENSCAFG00845024769,RPL18A,,2.595382376,11.32330602,231.3718754,2.99E-52,9.66E-50,476672
ENSCAFG00845026764,TRAPPC1,trafficking protein particle complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19894],2.34573628,7.020346663,230.7283108,4.14E-52,1.30E-49,479490
ENSCAFG00845013707,TPRA1,transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413],2.454618175,8.059452054,230.6097022,4.39E-52,1.35E-49,484621
ENSCAFG00845007548,,,2.860701022,6.731601095,229.8229391,6.52E-52,1.96E-49,119863903
ENSCAFG00845002092,ETV2,RNA binding motif protein 42 [Source:HGNC Symbol;Acc:HGNC:28117],2.125427205,7.837786893,227.8456165,1.76E-51,5.17E-49,612999
ENSCAFG00845016589,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700],2.792440244,6.71460046,220.9384172,5.65E-50,1.62E-47,478639
ENSCAFG00845000407,,,1.977907377,7.52389931,220.7831852,6.10E-50,1.72E-47,610745
ENSCAFG00845003277,ATP5F1A,ATP synthase F1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:480149],2.074085439,9.992925466,220.7095627,6.33E-50,1.75E-47,480149
ENSCAFG00845016464,BET1,Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562],2.257522764,6.818018218,220.0941497,8.63E-50,2.33E-47,475231
ENSCAFG00845005256,CALM3,calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445],2.516305863,10.25616472,218.5539956,1.87E-49,4.95E-47,474584
