gene_id,symbol,gene_name,log2_fold_change,Pvalue,FDR,name,logCPM
ENSMUSG00000103922,Gm6123,predicted gene 6123,1.896101085,1.37E-06,2.18E-05,2,5.539263382
ENSMUSG00000098234,Snhg6,small nucleolar RNA host gene 6,1.27460075,0.005908368,0.025107534,2,4.566788744
ENSMUSG00000025917,Cops5,COP9 signalosome subunit 5,1.826812816,7.63E-15,9.39E-13,2,7.238068849
ENSMUSG00000067813,Xkr9,X-linked Kx blood group related 9,2.134386601,1.18E-14,1.43E-12,2,6.35582472
ENSMUSG00000043716,Rpl7,ribosomal protein L7,1.657733654,8.58E-12,5.36E-10,2,9.097276326
ENSMUSG00000025939,Ube2w,ubiquitin-conjugating enzyme E2W (putative),1.587681156,2.93E-08,7.40E-07,2,6.441980081
ENSMUSG00000025934,Gsta3,"glutathione S-transferase, alpha 3",1.19215163,5.60E-11,2.91E-09,2,12.38788905
ENSMUSG00000025936,Gm4956,predicted gene 4956,1.505040367,1.95E-05,0.000215332,2,5.347472355
ENSMUSG00000086240,Gm7846,predicted gene 7846,3.073188348,0.000121089,0.001009131,2,1.908770902
ENSMUSG00000086727,4931428L18Rik,RIKEN cDNA 4931428L18 gene,4.052024982,0.013362154,0.048018794,2,0.539879697
ENSMUSG00000026134,Prim2,"DNA primase, p58 subunit",1.911194418,0.001943991,0.010260912,2,3.07663211
ENSMUSG00000004768,Rab23,"RAB23, member RAS oncogene family",1.410235961,0.000237267,0.00176446,2,4.615411571
ENSMUSG00000061518,Cox5b,cytochrome c oxidase subunit 5B,1.164816502,0.000148936,0.001193981,2,7.967136173
ENSMUSG00000037216,Lipt1,lipoyltransferase 1,1.989813617,0.000482262,0.003225797,2,3.278376125
ENSMUSG00000026088,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",1.873051405,0.000289225,0.002087185,2,3.843218599
ENSMUSG00000026107,Nabp1,nucleic acid binding protein 1,1.363106204,8.06E-05,0.000719422,2,6.155777291
ENSMUSG00000026094,Stk17b,serine/threonine kinase 17b (apoptosis-inducing),1.793350483,1.10E-06,1.80E-05,2,4.642797584
ENSMUSG00000025981,Coq10b,coenzyme Q10B,2.210471901,0.0006325,0.004022763,2,7.383350022
ENSMUSG00000025979,Mob4,"MOB family member 4, phocein",1.320585951,7.80E-08,1.76E-06,2,6.593238066
ENSMUSG00000048495,Tyw5,tRNA-yW synthesizing protein 5,1.478970035,0.002697376,0.013512963,2,3.701185592
ENSMUSG00000025971,Maip1,matrix AAA peptidase interacting protein 1,1.592964315,6.14E-05,0.000574696,2,4.948681628
ENSMUSG00000051223,Bzw1,basic leucine zipper and W2 domains 1,1.19535248,1.02E-09,3.72E-08,2,9.175086609
ENSMUSG00000026034,Clk1,CDC-like kinase 1,2.358470374,6.40E-23,4.74E-20,2,7.048636488
ENSMUSG00000026029,Casp8,caspase 8,1.354370483,9.26E-06,0.000114668,2,6.387453678
ENSMUSG00000025967,Eef1b2,eukaryotic translation elongation factor 1 beta 2,1.724582976,3.45E-18,8.40E-16,2,8.328831135
ENSMUSG00000087213,2810408I11Rik,RIKEN cDNA 2810408I11 gene,2.956071849,0.00116616,0.006672819,2,1.729848954
ENSMUSG00000099707,Gm8883,predicted gene 8883,1.165220525,0.00021667,0.001629807,2,5.643803084
ENSMUSG00000039395,Mreg,melanoregulin,1.083820743,0.0050601,0.022334855,2,7.574042913
ENSMUSG00000093956,NA,NA,2.451934891,0.011952763,0.043815053,2,1.722920355
ENSMUSG00000026187,Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5,1.993351951,1.15E-13,1.07E-11,2,6.200493804
ENSMUSG00000039323,Igfbp2,insulin-like growth factor binding protein 2,2.855031792,4.54E-19,1.28E-16,2,8.129252547
ENSMUSG00000026248,Mrpl44,mitochondrial ribosomal protein L44,1.522476226,1.06E-06,1.74E-05,2,5.852825072
ENSMUSG00000090175,Ugt1a9,"UDP glucuronosyltransferase 1 family, polypeptide A9",1.735588871,0.001703921,0.00917564,2,7.869439252
ENSMUSG00000090145,Ugt1a6b,"UDP glucuronosyltransferase 1 family, polypeptide A6B",1.08107795,1.26E-05,0.000149163,2,8.003400881
ENSMUSG00000026304,Rab17,"RAB17, member RAS oncogene family",1.501183592,5.57E-05,0.000528913,2,5.101349353
ENSMUSG00000026273,Mterf4,mitochondrial transcription termination factor 4,1.271226727,0.001211991,0.006874955,2,4.620080628
ENSMUSG00000009905,Kdsr,3-ketodihydrosphingosine reductase,1.187728899,6.89E-06,8.83E-05,2,7.948609746
ENSMUSG00000026385,Dbi,diazepam binding inhibitor,1.955899029,1.48E-14,1.73E-12,2,10.88211392
ENSMUSG00000026348,Acmsd,amino carboxymuconate semialdehyde decarboxylase,2.065369417,5.46E-09,1.62E-07,2,4.584631991
ENSMUSG00000100078,Gm6170,predicted gene 6170,2.148192311,0.00065501,0.004136309,2,3.48020496
ENSMUSG00000045382,Cxcr4,chemokine (C-X-C motif) receptor 4,2.406787505,0.001087404,0.006277058,2,2.485962273
ENSMUSG00000026405,C4bp,complement component 4 binding protein,1.044777311,1.76E-08,4.65E-07,2,10.94408715
ENSMUSG00000026417,Pigr,polymeric immunoglobulin receptor,1.178003736,2.28E-05,0.000245517,2,11.78297421
ENSMUSG00000026427,Eif2d,eukaryotic translation initiation factor 2D,1.018092118,0.000237749,0.001765933,2,6.754262397
ENSMUSG00000079139,Gm4204,predicted gene 4204,1.273596792,1.30E-05,0.000152905,2,6.991660501
ENSMUSG00000026368,F13b,"coagulation factor XIII, beta subunit",1.240726134,2.15E-07,4.31E-06,2,9.553287522
ENSMUSG00000057037,Cfhr1,complement factor H-related 1,1.018489419,2.33E-05,0.000250115,2,8.854307157
ENSMUSG00000090623,Cfhr3,complement factor H-related 3,1.422258967,0.000117252,0.000982895,2,5.095996619
ENSMUSG00000070594,Cfhr4,complement factor H-related 4,1.300320693,7.96E-06,0.000100418,2,9.373367508
ENSMUSG00000033898,Cfhr2,complement factor H-related 2,1.204619708,5.16E-06,6.92E-05,2,10.23423886
ENSMUSG00000085867,Gm5834,predicted pseudogene 5834,1.570158757,2.13E-06,3.20E-05,2,5.575830256
ENSMUSG00000101795,Gm5835,predicted gene 5835,1.769689196,1.99E-09,6.73E-08,2,5.729226087
ENSMUSG00000099875,Rbm3-ps,"RNA binding motif (RNP1, RRM) protein 3",1.23416718,0.012315392,0.044939143,2,4.751682824
ENSMUSG00000006014,Prg4,"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)",2.053345931,1.40E-06,2.23E-05,2,5.959477212
ENSMUSG00000023150,Ivns1abp,influenza virus NS1A binding protein,1.072349671,0.000141043,0.001142753,2,9.315764859
ENSMUSG00000014980,Tsen15,tRNA splicing endonuclease subunit 15,1.648907441,0.004312463,0.019619892,2,3.467825361
ENSMUSG00000008475,Arpc5,"actin related protein 2/3 complex, subunit 5",1.809227528,2.28E-14,2.56E-12,2,7.820428667
ENSMUSG00000056708,Ier5,immediate early response 5,1.808799976,0.000352125,0.002458351,2,4.245674799
ENSMUSG00000033684,Qsox1,quiescin Q6 sulfhydryl oxidase 1,1.28447737,5.80E-07,1.02E-05,2,9.942965942
ENSMUSG00000026715,Serpinc1,"serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1",1.251031384,8.94E-10,3.34E-08,2,12.69179817
ENSMUSG00000053332,Gas5,growth arrest specific 5,1.240775509,8.76E-06,0.000109242,2,6.68037448
ENSMUSG00000026698,Pigc,"phosphatidylinositol glycan anchor biosynthesis, class C",1.756087325,8.46E-05,0.000746614,2,4.172397089
ENSMUSG00000040181,Fmo1,flavin containing monooxygenase 1,1.017051757,0.000176279,0.001373338,2,9.725538151
ENSMUSG00000026574,Dpt,dermatopontin,1.721105333,0.000377217,0.00261008,2,3.937688416
ENSMUSG00000026571,Dcaf6,DDB1 and CUL4 associated factor 6,1.132676438,4.36E-06,5.99E-05,2,6.940764024
ENSMUSG00000084093,Gm16418,predicted pseudogene 16418,1.878015732,0.000435674,0.002940919,2,3.596818313
ENSMUSG00000052428,Tmco1,transmembrane and coiled-coil domains 1,1.484309487,6.57E-11,3.35E-09,2,8.201750808
ENSMUSG00000026687,Aldh9a1,"aldehyde dehydrogenase 9, subfamily A1",1.168944272,1.60E-08,4.26E-07,2,9.828179482
ENSMUSG00000026688,Mgst3,microsomal glutathione S-transferase 3,1.233102978,1.45E-06,2.29E-05,2,7.110638186
ENSMUSG00000026678,Rgs5,regulator of G-protein signaling 5,1.489250958,6.31E-06,8.17E-05,2,7.180167719
ENSMUSG00000089838,Gm2962,predicted pseudogene 2962,1.202947947,0.001359536,0.007590692,2,5.956895876
ENSMUSG00000059089,Fcgr4,"Fc receptor, IgG, low affinity IV",1.758625685,0.000622764,0.003977119,2,3.637103714
ENSMUSG00000058076,Sdhc,"succinate dehydrogenase complex, subunit C, integral membrane protein",1.973120997,2.13E-16,3.48E-14,2,8.891766844
ENSMUSG00000005677,Nr1i3,"nuclear receptor subfamily 1, group I, member 3",1.540435527,1.02E-05,0.000123564,2,6.544340481
ENSMUSG00000005674,Tomm40l,translocase of outer mitochondrial membrane 40-like,1.319396012,0.011864899,0.04359579,2,3.968125128
ENSMUSG00000062729,Ppox,protoporphyrinogen oxidase,1.9992226,3.31E-09,1.04E-07,2,4.980662984
ENSMUSG00000062963,Ufc1,ubiquitin-fold modifier conjugating enzyme 1,2.024943322,9.98E-14,9.47E-12,2,7.322019077
ENSMUSG00000013997,Nit1,nitrilase 1,1.248439871,2.81E-07,5.41E-06,2,7.555838193
ENSMUSG00000026641,Usf1,upstream transcription factor 1,1.113773592,0.00075314,0.00463362,2,5.469676708
ENSMUSG00000059058,Tma7-ps,"translational machinery associated 7 homolog (S. cerevisiae), pseudogene",1.138959302,0.00318037,0.015411038,2,4.84177384
ENSMUSG00000026542,Apcs,serum amyloid P-component,2.084275378,6.39E-18,1.47E-15,2,7.594869796
ENSMUSG00000026526,Fh1,fumarate hydratase 1,1.053046785,1.28E-05,0.000150885,2,9.149886729
ENSMUSG00000039783,Kmo,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase),1.255866051,5.23E-10,2.09E-08,2,10.08918925
ENSMUSG00000026492,Tfb2m,"transcription factor B2, mitochondrial",1.24110178,0.000208206,0.001571847,2,5.933033881
ENSMUSG00000060743,H3f3a,H3.3 histone A,2.238666842,1.81E-28,4.50E-25,2,7.917924406
ENSMUSG00000026621,Mtarc1,mitochondrial amidoxime reducing component 1,1.915642515,5.67E-16,8.11E-14,2,10.27883438
ENSMUSG00000039349,C130074G19Rik,RIKEN cDNA C130074G19 gene,2.181197678,6.14E-11,3.14E-09,2,8.429813211
ENSMUSG00000026617,Bpnt1,"3'(2'), 5'-bisphosphate nucleotidase 1",1.423182505,1.34E-09,4.72E-08,2,7.97761576
ENSMUSG00000039246,Lyplal1,lysophospholipase-like 1,1.478739416,1.52E-05,0.000173552,2,5.673358381
ENSMUSG00000026632,Tatdn3,TatD DNase domain containing 3,2.006324688,0.009174645,0.035449827,2,2.235809064
ENSMUSG00000079144,A130010J15Rik,RIKEN cDNA A130010J15 gene,1.226425423,0.011539404,0.042684267,2,4.383028087
ENSMUSG00000016194,Hsd11b1,hydroxysteroid 11-beta dehydrogenase 1,1.992908734,2.26E-22,1.48E-19,2,10.73317724
ENSMUSG00000016481,Cr1l,complement component (3b/4b) receptor 1-like,1.478389168,1.58E-09,5.44E-08,2,6.861784612
ENSMUSG00000026664,Phyh,phytanoyl-CoA hydroxylase,1.31134714,1.39E-08,3.75E-07,2,11.6734238
ENSMUSG00000037254,Itih2,"inter-alpha trypsin inhibitor, heavy chain 2",1.217820665,4.07E-06,5.65E-05,2,11.76694356
ENSMUSG00000026767,Mindy3,MINDY lysine 48 deubiquitinase 3,1.559552305,3.33E-09,1.04E-07,2,6.610262014
ENSMUSG00000026775,Yme1l1,YME1-like 1 (S. cerevisiae),1.929353974,6.95E-15,8.65E-13,2,8.819310225
ENSMUSG00000026986,Hnmt,histamine N-methyltransferase,1.935945701,1.09E-11,6.61E-10,2,7.439027927
ENSMUSG00000083116,Gm13410,predicted gene 13410,1.930637379,0.00147017,0.008084961,2,3.422444928
ENSMUSG00000036833,Pnpla7,patatin-like phospholipase domain containing 7,1.029800362,2.13E-05,0.000232059,2,8.392187344
ENSMUSG00000036752,Tubb4b,"tubulin, beta 4B class IVB",1.743173313,1.80E-07,3.67E-06,2,8.222328517
ENSMUSG00000062647,Rpl7a,ribosomal protein L7A,2.20450141,1.16E-16,2.01E-14,2,6.021112538
ENSMUSG00000069020,Urm1,ubiquitin related modifier 1,1.626760814,7.53E-06,9.55E-05,2,4.932586507
ENSMUSG00000085401,Slc39a1-ps,"solute carrier family 39 (zinc transporter), member 1, pseudogene",2.160657126,7.80E-05,0.000699764,2,3.422444928
ENSMUSG00000015337,Endog,endonuclease G,1.07369838,0.000412226,0.002817822,2,6.056223569
ENSMUSG00000039356,Exosc2,exosome component 2,1.521816246,0.000793373,0.004828585,2,4.50338837
ENSMUSG00000038900,Rpl12,ribosomal protein L12,1.730871389,0.006707946,0.027792936,2,3.280737116
ENSMUSG00000026864,Hspa5,heat shock protein 5,1.139045774,0.000557216,0.003631251,2,11.09135962
ENSMUSG00000035875,AI182371,expressed sequence AI182371,1.11814399,5.30E-06,7.07E-05,2,9.588732157
ENSMUSG00000026880,Stom,stomatin,1.279332319,2.00E-07,4.05E-06,2,8.090932249
ENSMUSG00000026895,Ndufa8,NADH:ubiquinone oxidoreductase subunit A8,1.699810592,1.61E-11,9.38E-10,2,7.789555459
ENSMUSG00000062997,Rpl35,ribosomal protein L35,1.31060084,0.007299055,0.02962992,2,3.976887999
ENSMUSG00000082536,Gm13456,predicted gene 13456,2.437312542,8.41E-18,1.90E-15,2,9.574915446
ENSMUSG00000081999,Gm13461,predicted gene 13461,2.200781635,2.38E-12,1.64E-10,2,5.755401839
ENSMUSG00000026866,Kynu,kynureninase,1.237704935,0.000119208,0.000996126,2,8.936112336
ENSMUSG00000026766,Mmadhc,"methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria",1.341766128,9.53E-09,2.69E-07,2,7.622761102
ENSMUSG00000083287,Idi1-ps1,"isopentenyl-diphosphate delta isomerase, pseudogene 1",1.326225583,4.32E-05,0.000425505,2,5.694372699
ENSMUSG00000026839,Upp2,uridine phosphorylase 2,2.54378499,0.000556147,0.003626182,2,10.29641317
ENSMUSG00000060703,Cd302,CD302 antigen,1.507724332,2.54E-15,3.36E-13,2,9.300899866
ENSMUSG00000026914,Psmd14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14",1.524109718,1.03E-08,2.87E-07,2,7.174605225
ENSMUSG00000075312,Gm13597,predicted gene 13597,1.501875122,0.002094875,0.010953607,2,4.022123439
ENSMUSG00000027048,Abcb11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",1.180532405,0.00033778,0.002379582,2,11.0002837
ENSMUSG00000047965,Rpl9-ps7,"ribosomal protein L9, pseudogene 7",2.885050608,6.31E-08,1.46E-06,2,2.982421981
ENSMUSG00000027010,Slc25a12,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12",1.398816844,3.15E-06,4.54E-05,2,6.114085929
ENSMUSG00000018770,Atp5g3,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)",1.186514285,4.35E-08,1.05E-06,2,9.614039252
ENSMUSG00000002732,Fkbp7,FK506 binding protein 7,1.551255707,0.00762109,0.030676798,2,3.2216046
ENSMUSG00000002733,Plekha3,"pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3",1.467871302,1.63E-06,2.53E-05,2,6.241916179
ENSMUSG00000081611,Gm13651,predicted gene 13651,2.396479608,9.72E-05,0.000838973,2,3.065720667
ENSMUSG00000027016,Zfp385b,zinc finger protein 385B,1.056528935,0.000423747,0.002883892,2,5.874526701
ENSMUSG00000076437,Selenoh,selenoprotein H,1.815659664,0.000171779,0.001345873,2,3.936191483
ENSMUSG00000027076,Timm10,translocase of inner mitochondrial membrane 10,1.700568275,5.19E-06,6.96E-05,2,5.359561764
ENSMUSG00000005510,Ndufs3,NADH:ubiquinone oxidoreductase core subunit S3,1.274194402,1.79E-08,4.71E-07,2,7.142849721
ENSMUSG00000075014,Gm10800,predicted gene 10800,6.685928951,9.42E-13,7.36E-11,2,3.840020244
ENSMUSG00000027163,Commd9,COMM domain containing 9,1.634683594,1.60E-05,0.000181722,2,5.209620113
ENSMUSG00000081010,Gm13880,predicted gene 13880,2.126111489,0.003260901,0.015697267,2,2.594557761
ENSMUSG00000027176,Cstf3,"cleavage stimulation factor, 3' pre-RNA, subunit 3",1.980546988,3.30E-09,1.04E-07,2,4.95238886
ENSMUSG00000057234,Mettl15,methyltransferase like 15,1.464997465,0.007143305,0.029159746,2,3.891226622
ENSMUSG00000027131,Emc4,ER membrane protein complex subunit 4,1.445923927,1.34E-06,2.16E-05,2,6.504796819
ENSMUSG00000027349,Fam98b,"family with sequence similarity 98, member B",1.979218218,9.73E-07,1.62E-05,2,5.058567257
ENSMUSG00000070730,Rmdn3,regulator of microtubule dynamics 3,1.559637231,4.07E-13,3.31E-11,2,8.0668489
ENSMUSG00000046814,Gchfr,GTP cyclohydrolase I feedback regulator,1.199288842,4.33E-07,7.84E-06,2,8.036245825
ENSMUSG00000027305,Ndufaf1,NADH:ubiquinone oxidoreductase complex assembly factor 1,1.690903129,1.13E-08,3.09E-07,2,6.10360206
ENSMUSG00000082029,H3f3c,"H3 histone, family 3C",2.952604297,1.72E-15,2.32E-13,2,4.871494437
ENSMUSG00000079110,Capn3,calpain 3,3.475607258,0.006204671,0.026107911,2,0.955674033
ENSMUSG00000023572,Ccndbp1,cyclin D-type binding-protein 1,1.423852696,4.03E-05,0.000399615,2,5.552025011
ENSMUSG00000060802,B2m,beta-2 microglobulin,2.009369492,2.27E-14,2.56E-12,2,12.02874941
ENSMUSG00000074876,NA,NA,1.726206833,0.000802251,0.004869423,2,3.742126594
ENSMUSG00000005803,Sqor,sulfide quinone oxidoreductase,1.110096268,6.10E-09,1.80E-07,2,9.139881859
ENSMUSG00000027207,Galk2,galactokinase 2,1.328897784,7.17E-05,0.000653631,2,5.567635632
ENSMUSG00000044145,1810024B03Rik,RIKEN cDNA 1810024B03 gene,2.825189411,0.002425453,0.012420958,2,1.729848954
ENSMUSG00000003662,Ciao1,cytosolic iron-sulfur protein assembly 1,1.870030902,9.32E-11,4.54E-09,2,6.771085586
ENSMUSG00000027371,Fahd2a,fumarylacetoacetate hydrolase domain containing 2A,1.108037589,0.000802298,0.004869423,2,5.544676315
ENSMUSG00000027397,Slc20a1,"solute carrier family 20, member 1",1.471515751,0.000164897,0.001300967,2,6.704148885
ENSMUSG00000027404,Snrpb,small nuclear ribonucleoprotein B,1.649824467,4.26E-11,2.26E-09,2,7.035918159
ENSMUSG00000027405,Nop56,NOP56 ribonucleoprotein,1.678489521,1.40E-05,0.000162324,2,5.035293249
ENSMUSG00000027327,1700037H04Rik,RIKEN cDNA 1700037H04 gene,1.980164922,0.000132449,0.00108253,2,3.752370265
ENSMUSG00000068264,Ap5s1,"adaptor-related protein 5 complex, sigma 1 subunit",1.174335403,0.000403393,0.002765043,2,5.61316131
ENSMUSG00000082044,Snrpert,"small nuclear ribonucleoprotein E, pseudogene",1.41596011,0.004249566,0.019375476,2,3.987044527
ENSMUSG00000027342,Pcna,proliferating cell nuclear antigen,1.740056554,2.03E-08,5.27E-07,2,5.840250792
ENSMUSG00000027357,Crls1,cardiolipin synthase 1,2.289222049,5.28E-20,2.05E-17,2,7.663845216
ENSMUSG00000027261,Hao1,"hydroxyacid oxidase 1, liver",1.370749614,6.83E-10,2.64E-08,2,9.246151752
ENSMUSG00000008333,Snrpb2,U2 small nuclear ribonucleoprotein B,1.653679649,5.07E-06,6.83E-05,2,5.016603954
ENSMUSG00000027422,Rrbp1,ribosome binding protein 1,1.315053687,3.14E-05,0.000324051,2,9.204580582
ENSMUSG00000086141,9030622O22Rik,RIKEN cDNA 9030622O22 gene,1.017094282,0.005885361,0.025035437,2,5.1782292
ENSMUSG00000027454,Gins1,GINS complex subunit 1 (Psf1 homolog),1.723088348,0.00476063,0.021260754,2,3.149647426
ENSMUSG00000032869,Psmf1,"proteasome (prosome, macropain) inhibitor subunit 1",1.095391884,5.63E-05,0.000533362,2,6.55000819
ENSMUSG00000081087,Rps15a-ps7,"ribosomal protein S15A, pseudogene 7",2.209786407,3.61E-08,8.96E-07,2,4.693401845
ENSMUSG00000042745,Id1,"inhibitor of DNA binding 1, HLH protein",3.2645407,8.93E-11,4.43E-09,2,4.346800963
ENSMUSG00000083097,Gm14494,predicted gene 14494,1.593355647,2.09E-07,4.20E-06,2,5.798334783
ENSMUSG00000027487,Cdk5rap1,CDK5 regulatory subunit associated protein 1,1.968565501,9.98E-07,1.65E-05,2,5.278125676
ENSMUSG00000027613,Eif6,eukaryotic translation initiation factor 6,1.434834979,1.22E-08,3.34E-07,2,6.995438748
ENSMUSG00000027620,Rbm39,RNA binding motif protein 39,1.22585765,8.64E-08,1.93E-06,2,8.252658177
ENSMUSG00000074623,Gm826,predicted gene 826,3.232875694,0.001523007,0.008331313,2,1.239736424
ENSMUSG00000016921,Srsf6,serine and arginine-rich splicing factor 6,1.998853778,2.05E-20,9.10E-18,2,7.784410884
ENSMUSG00000017009,Sdc4,syndecan 4,1.835573843,3.13E-13,2.67E-11,2,10.1777476
ENSMUSG00000017723,Wfdc2,WAP four-disulfide core domain 2,1.724050709,9.71E-06,0.000119308,2,5.564945679
ENSMUSG00000017307,Acot8,acyl-CoA thioesterase 8,1.07248655,0.002523086,0.012820616,2,5.26115238
ENSMUSG00000074578,Zfas1,"zinc finger, NFX1-type containing 1, antisense RNA 1",1.421351641,0.004353136,0.019780482,2,3.978343317
ENSMUSG00000074576,Mocs3,molybdenum cofactor synthesis 3,1.380010048,0.0050738,0.022384996,2,4.099215976
ENSMUSG00000027513,Pck1,"phosphoenolpyruvate carboxykinase 1, cytosolic",1.532999019,5.60E-07,9.92E-06,2,12.36984895
ENSMUSG00000027523,Gnas,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus",2.007352845,0.00011172,0.000943059,2,4.37642021
ENSMUSG00000016252,Atp5e,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",1.505858364,2.48E-08,6.35E-07,2,8.037555255
ENSMUSG00000095362,Gm14325,predicted gene 14325,2.890354472,1.95E-05,0.000215667,2,2.494124171
ENSMUSG00000074521,Gm14327,predicted gene 14327,2.357539214,2.17E-06,3.25E-05,2,3.651770759
ENSMUSG00000078861,Zfp931,zinc finger protein 931,2.548703723,1.13E-05,0.000135428,2,3.420304982
