gene_id,symbol,gene_name,log2_fold_change,Pvalue,FDR,name,logCPM
ENSMUSG00000103922,Gm6123,predicted gene 6123,1.433587218,0.000248379,0.001881512,1,5.953307358
ENSMUSG00000046334,Gm6195,predicted pseudogene 6195,2.194635013,0.003027164,0.014925388,1,2.732921361
ENSMUSG00000098234,Snhg6,small nucleolar RNA host gene 6,1.49243354,0.001072462,0.006327129,1,4.922787789
ENSMUSG00000025917,Cops5,COP9 signalosome subunit 5,1.99042816,1.53E-17,2.26E-15,1,7.627949192
ENSMUSG00000067813,Xkr9,X-linked Kx blood group related 9,2.363785909,9.26E-18,1.43E-15,1,6.681172992
ENSMUSG00000043716,Rpl7,ribosomal protein L7,2.352792987,2.98E-22,9.23E-20,1,9.354409657
ENSMUSG00000025939,Ube2w,ubiquitin-conjugating enzyme E2W (putative),2.249026688,1.50E-14,1.21E-12,1,6.288177586
ENSMUSG00000025933,Tmem14a,transmembrane protein 14A,1.819052197,0.001823351,0.009867545,1,3.449843208
ENSMUSG00000025934,Gsta3,"glutathione S-transferase, alpha 3",1.67173824,4.13E-20,8.88E-18,1,12.3197696
ENSMUSG00000025936,Gm4956,predicted gene 4956,1.728523108,1.44E-07,2.93E-06,1,6.606489781
ENSMUSG00000101514,Gm5524,predicted gene 5524,1.515789809,0.000415855,0.002900863,1,5.20352547
ENSMUSG00000086240,Gm7846,predicted gene 7846,3.11075801,4.07E-06,5.53E-05,1,2.973176549
ENSMUSG00000070960,Gm19680,"predicted gene, 19680",1.255335082,0.001374435,0.007779681,1,5.458690807
ENSMUSG00000026134,Prim2,"DNA primase, p58 subunit",2.574910415,8.98E-05,0.000796575,1,2.888232991
ENSMUSG00000004768,Rab23,"RAB23, member RAS oncogene family",1.945316689,1.06E-07,2.25E-06,1,5.188224278
ENSMUSG00000061518,Cox5b,cytochrome c oxidase subunit 5B,1.079166099,0.000429266,0.002970009,1,8.350278103
ENSMUSG00000026111,Unc50,unc-50 homolog,1.208761781,7.68E-05,0.000698615,1,6.229115652
ENSMUSG00000037216,Lipt1,lipoyltransferase 1,1.676004232,0.001886436,0.010156993,1,3.996559656
ENSMUSG00000026088,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",2.225498033,2.15E-05,0.000230737,1,3.944918194
ENSMUSG00000058407,Txndc9,thioredoxin domain containing 9,1.423092624,1.80E-07,3.57E-06,1,6.49867105
ENSMUSG00000026072,Il1r1,"interleukin 1 receptor, type I",1.251527838,0.00019514,0.001533105,1,7.371582092
ENSMUSG00000057363,Uxs1,UDP-glucuronate decarboxylase 1,1.278168046,0.000835803,0.005148647,1,4.996649812
