gene_id,symbol,gene_name,log2_fold_change,logCPM,LR,PValue,FDR,entrezgene_id
ENSG00000013275,PSMC4,"proteasome 26S subunit, ATPase 4",2.42305391,7.208620664,1046.929142,1.13E-229,1.53E-225,5704
ENSG00000167635,ZNF146,zinc finger protein 146,3.038964259,7.398155186,934.7947891,2.68E-205,1.81E-201,7705
ENSG00000113387,SUB1,SUB1 regulator of transcription,2.783368177,9.246454513,917.6657271,1.42E-201,6.40E-198,10923
ENSG00000104853,CLPTM1,CLPTM1 regulator of GABA type A receptor forward trafficking,2.274262471,7.557709597,889.9474585,1.50E-195,5.09E-192,1209
ENSG00000143110,C1orf162,chromosome 1 open reading frame 162,3.170168525,8.703768025,813.6985957,5.67E-179,1.54E-175,128346
ENSG00000173915,ATP5MK,ATP synthase membrane subunit k,2.450792706,6.57263001,795.0763268,6.35E-175,1.43E-171,84833
ENSG00000087302,RTRAF,"RNA transcription, translation and transport factor",2.297954535,7.377414646,785.0589526,9.56E-173,1.85E-169,51637
ENSG00000050130,JKAMP,JNK1/MAPK8 associated membrane protein,2.54320397,6.383472877,747.4249435,1.46E-164,2.47E-161,51528
ENSG00000105185,PDCD5,programmed cell death 5,2.237044695,5.863073663,743.4572343,1.06E-163,1.60E-160,9141
ENSG00000119929,CUTC,cutC copper transporter,2.014024933,5.934899664,705.6719005,1.75E-155,2.37E-152,51076
ENSG00000078668,VDAC3,voltage dependent anion channel 3,2.379208972,7.494570848,668.1303808,2.55E-147,3.14E-144,7419
ENSG00000116030,SUMO1,small ubiquitin like modifier 1,1.797218048,6.862009993,653.5386446,3.80E-144,4.29E-141,7341
ENSG00000176261,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand,2.014735148,5.241680092,652.7400634,5.67E-144,5.90E-141,339487
ENSG00000124562,SNRPC,small nuclear ribonucleoprotein polypeptide C,1.849547417,6.563784477,652.4653818,6.50E-144,6.29E-141,6631
ENSG00000218739,CEBPZOS,CEBPZ opposite strand,1.978962975,6.170757328,635.8862148,2.62E-140,2.37E-137,100505876
ENSG00000105879,CBLL1,Cbl proto-oncogene like 1,2.124892249,6.88366144,625.6125589,4.50E-138,3.81E-135,79872
ENSG00000181061,HIGD1A,HIG1 hypoxia inducible domain family member 1A,2.076409729,5.621787759,618.0306815,2.00E-136,1.60E-133,25994
ENSG00000235082,SUMO1P3,SUMO1 pseudogene 3,2.094729012,5.103981636,609.951649,1.15E-134,8.62E-132,
ENSG00000185088,RPS27L,ribosomal protein S27 like,2.284210084,6.687795837,598.7195791,3.18E-132,2.27E-129,51065
ENSG00000237350,CDC42P6,cell division cycle 42 pseudogene 6,2.005078162,6.7878563,598.2451749,4.03E-132,2.73E-129,
ENSG00000083099,LYRM2,LYR motif containing 2,1.906207817,5.373172907,595.2927836,1.77E-131,1.14E-128,57226
ENSG00000169019,COMMD8,COMM domain containing 8,2.039891539,5.638465084,575.745242,3.16E-127,1.94E-124,54951
ENSG00000210196,MT-TP,mitochondrially encoded tRNA-Pro (CCN),4.15557499,9.129467536,572.178225,1.89E-126,1.11E-123,
ENSG00000143933,CALM2,calmodulin 2,2.492230733,9.996089784,567.6340014,1.84E-125,1.04E-122,805
ENSG00000104613,INTS10,integrator complex subunit 10,1.543701122,6.860362883,566.2216874,3.73E-125,2.02E-122,55174
ENSG00000213585,VDAC1,voltage dependent anion channel 1,1.847237795,6.658269945,551.3594714,6.37E-122,3.32E-119,7416
ENSG00000210077,MT-TV,mitochondrially encoded tRNA-Val (GUN),6.777982213,7.362362851,532.6658385,7.43E-118,3.73E-115,
ENSG00000205581,HMGN1,high mobility group nucleosome binding domain 1,1.369899342,8.052014484,528.4961683,6.00E-117,2.90E-114,3150
ENSG00000210049,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),8.194661159,7.420473991,523.6304873,6.87E-116,3.21E-113,
ENSG00000061794,MRPS35,mitochondrial ribosomal protein S35,1.807723124,6.072824986,520.108882,4.01E-115,1.81E-112,60488
ENSG00000172172,MRPL13,mitochondrial ribosomal protein L13,2.259850278,5.158010946,504.4234679,1.04E-111,4.53E-109,28998
ENSG00000118418,HMGN3,high mobility group nucleosomal binding domain 3,1.662908939,6.065606591,499.470062,1.24E-110,5.25E-108,9324
ENSG00000114902,SPCS1,signal peptidase complex subunit 1,1.513273846,6.734554244,498.8231614,1.71E-110,7.03E-108,28972
ENSG00000206573,THUMPD3-AS1,THUMPD3 antisense RNA 1,2.093459509,5.169511018,493.3607241,2.65E-109,1.05E-106,440944
ENSG00000146223,RPL7L1,ribosomal protein L7 like 1,1.558450726,7.13265308,493.0509014,3.09E-109,1.20E-106,285855
ENSG00000111481,COPZ1,COPI coat complex subunit zeta 1,1.70484596,7.567217339,480.7615923,1.46E-106,5.49E-104,22818
ENSG00000122033,MTIF3,mitochondrial translational initiation factor 3,1.837572157,5.474494745,479.5079227,2.73E-106,1.00E-103,219402
ENSG00000128708,HAT1,histone acetyltransferase 1,1.644342516,5.836757838,477.5829261,7.17E-106,2.56E-103,8520
ENSG00000211459,MT-RNR1,mitochondrially encoded 12S rRNA,5.41955186,16.0823106,474.8784172,2.78E-105,9.66E-103,
ENSG00000204227,RING1,ring finger protein 1,1.280029833,6.357301328,474.1578171,3.99E-105,1.35E-102,6015
ENSG00000169714,CNBP,CCHC-type zinc finger nucleic acid binding protein,1.309160131,9.682451251,468.4402962,7.00E-104,2.31E-101,7555
ENSG00000014641,MDH1,malate dehydrogenase 1,1.749840304,7.054405901,457.243103,1.91E-101,6.17E-99,4190
ENSG00000273841,TAF9,TATA-box binding protein associated factor 9,1.769048723,5.611315522,455.1606437,5.43E-101,1.71E-98,6880
ENSG00000198721,ECI2,enoyl-CoA delta isomerase 2,1.980358492,4.885631313,450.0331302,7.09E-100,2.18E-97,10455
ENSG00000151092,NGLY1,N-glycanase 1,1.497283214,5.961735348,448.336447,1.66E-99,5.00E-97,55768
ENSG00000147687,TATDN1,TatD DNase domain containing 1,2.210626523,4.726034755,447.0152919,3.22E-99,9.48E-97,83940
ENSG00000177879,AP3S1,adaptor related protein complex 3 subunit sigma 1,1.674021318,6.609184496,445.9150897,5.59E-99,1.61E-96,1176
