gene_id,symbol,gene_name,log2_fold_change,logCPM,LR,PValue,FDR,entrezgene_id
ENSCAFG00845007784,MRFAP1,,2.947618844,8.733892385,782.7225959,3.08E-172,4.07E-168,608548
ENSCAFG00845002083,CORO1A,coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252],3.177831632,12.60157479,608.3208674,2.59E-134,1.72E-130,489949
ENSCAFG00845020039,,,3.235839845,8.16659497,523.0897122,9.00E-116,3.54E-112,100684983
ENSCAFG00845023296,PSMB4,proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541],2.890955148,9.082564023,522.7421056,1.07E-115,3.54E-112,475848
ENSCAFG00845013139,,,2.241451779,7.481832012,514.2509765,7.54E-114,1.99E-110,119874448
ENSCAFG00845008917,H3-3A,,3.086725567,10.5582494,510.2211661,5.68E-113,1.25E-109,480110
ENSCAFG00845006300,NEDD8,NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732],2.460467277,7.308255077,462.5857167,1.32E-102,2.49E-99,480265
ENSCAFG00845017083,MAGOH,"mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]",2.804468966,6.605958625,460.8389783,3.16E-102,5.22E-99,479562
ENSCAFG00845000887,CDIPT,,2.199877308,7.365647972,460.0659984,4.65E-102,6.79E-99,489940
ENSCAFG00845021389,,,2.802786906,8.570112373,459.8700396,5.13E-102,6.79E-99,475399
ENSCAFG00845021180,PFDN6,prefoldin subunit 6 [Source:NCBI gene (formerly Entrezgene);Acc:474872],3.425088168,7.405570331,451.1703399,4.01E-100,4.83E-97,474872
ENSCAFG00845023393,EIF4A1,eukaryotic translation initiation factor 4A1 [Source:NCBI gene (formerly Entrezgene);Acc:100688577],2.449698122,11.08117243,438.700754,2.08E-97,2.29E-94,100688577
ENSCAFG00845016464,BET1,Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562],2.627632189,6.818018218,437.8019889,3.26E-97,3.31E-94,475231
ENSCAFG00845014234,EIF3H,eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273],2.410668937,8.991930917,432.6984554,4.20E-96,3.97E-93,475081
ENSCAFG00845030865,RPL29,,2.747421636,11.1211408,427.4955346,5.70E-95,5.03E-92,476601
ENSCAFG00845009430,YIPF3,Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023],2.19443462,7.657538278,424.7008327,2.31E-94,1.91E-91,481817
ENSCAFG00845018743,HNRNPD,heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036],2.175733208,9.543287803,416.2040386,1.64E-92,1.27E-89,478450
ENSCAFG00845018673,PRKCSH,protein kinase C substrate 80K-H [Source:HGNC Symbol;Acc:HGNC:9411],2.220031514,8.452655479,409.4249226,4.89E-91,3.59E-88,484941
ENSCAFG00845026930,RPS13,ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386],2.670525511,10.70778455,408.1014984,9.49E-91,6.61E-88,480235
ENSCAFG00845004716,GMFG,glia maturation factor gamma [Source:HGNC Symbol;Acc:HGNC:4374],2.98203066,10.16046425,400.8146281,3.66E-89,2.42E-86,611578
ENSCAFG00845024769,RPL18A,,2.824491063,11.32330602,397.9666859,1.53E-88,9.61E-86,476672
ENSCAFG00845027222,SELENOK,selenoprotein K [Source:NCBI gene (formerly Entrezgene);Acc:476586],2.756121303,7.089091439,396.588421,3.05E-88,1.83E-85,476586
ENSCAFG00845005256,CALM3,calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445],2.775032305,10.25616472,395.1560645,6.24E-88,3.59E-85,474584
ENSCAFG00845023974,AMDHD1,,3.166006367,6.802258218,391.9408505,3.13E-87,1.72E-84,482609
ENSCAFG00845007548,,,3.070470863,6.731601095,390.632828,6.03E-87,3.19E-84,119863903
ENSCAFG00845023387,SCAND1,SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566],2.448385143,7.135105682,387.8909008,2.38E-86,1.21E-83,609014
ENSCAFG00845008374,SDF2,stromal cell derived factor 2 [Source:HGNC Symbol;Acc:HGNC:10675],2.259984099,6.996809612,386.4015635,5.03E-86,2.46E-83,480626
ENSCAFG00845007809,ALDOC,"aldolase, fructose-bisphosphate C [Source:NCBI gene (formerly Entrezgene);Acc:480622]",2.913334685,6.118202627,383.249686,2.44E-85,1.15E-82,480622
ENSCAFG00845030234,CD48,,2.351933763,9.429183234,381.3787263,6.23E-85,2.84E-82,488642
ENSCAFG00845003277,ATP5F1A,ATP synthase F1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:480149],2.265395972,9.992925466,381.005777,7.52E-85,3.31E-82,480149
